Date,Championship_Title,Team_A,Team_B,Time,Team_A_Score,Team_B_Score,Match_Status,Chanel_Streaming,Match_Detail_Link,Match_Week_Number
2023-03-04,الدوري الفرنسي,لانس,ليل,18:00,1,1,انتهت,بى ان سبورت 2 HD,https://www.yallakora.com/ligue1/2768/match/87068/%d9%84%d8%a7%d9%86%d8%b3-%d9%84%d9%8a%d9%84-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%81%d8%b1%d9%86%d8%b3%d9%8a#MC_MatcheDetails,الأسبوع السادس والعشرون
2023-03-04,الدوري الفرنسي,ب. س. جيرمان,نانت,22:00,4,2,انتهت,بى ان سبورت بريميوم 1,https://www.yallakora.com/ligue1/2768/match/87070/%d8%a8-%d8%b3-%d8%ac%d9%8a%d8%b1%d9%85%d8%a7%d9%86-%d9%86%d8%a7%d9%86%d8%aa-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%81%d8%b1%d9%86%d8%b3%d9%8a#MC_MatcheDetails,الأسبوع السادس والعشرون
2023-03-04,الدوري التركي,فاتح كاراجومروك,سيفاسبور,12:30,4,3,انتهت,,https://www.yallakora.com/turkish-super-lig/2770/match/86868/%d9%81%d8%a7%d8%aa%d8%ad-%d9%83%d8%a7%d8%b1%d8%a7%d8%ac%d9%88%d9%85%d8%b1%d9%88%d9%83-%d8%b3%d9%8a%d9%81%d8%a7%d8%b3%d8%a8%d9%88%d8%b1-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%aa%d8%b1%d9%83%d9%8a#MC_MatcheDetails,الأسبوع الرابع والعشرون
2023-03-04,الدوري التركي,طرابزون سبور,أومراني سبور,15:00,1,2,انتهت,,https://www.yallakora.com/turkish-super-lig/2770/match/86870/%d8%b7%d8%b1%d8%a7%d8%a8%d8%b2%d9%88%d9%86-%d8%b3%d8%a8%d9%88%d8%b1-%d8%a3%d9%88%d9%85%d8%b1%d8%a7%d9%86%d9%8a-%d8%b3%d8%a8%d9%88%d8%b1-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%aa%d8%b1%d9%83%d9%8a#MC_MatcheDetails,الأسبوع الرابع والعشرون
2023-03-04,الدوري التركي,قيصري سبور,فنربخشة,18:00,1,2,انتهت,,https://www.yallakora.com/turkish-super-lig/2770/match/86873/%d9%82%d9%8a%d8%b5%d8%b1%d9%8a-%d8%b3%d8%a8%d9%88%d8%b1-%d9%81%d9%86%d8%b1%d8%a8%d8%ae%d8%b4%d8%a9-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%aa%d8%b1%d9%83%d9%8a#MC_MatcheDetails,الأسبوع الرابع والعشرون
2023-03-04,الدوري السعودي,ضمك,التعاون,15:00,1,2,انتهت,,https://www.yallakora.com/ksa-league/2784/match/87224/%d8%b6%d9%85%d9%83-%d8%a7%d9%84%d8%aa%d8%b9%d8%a7%d9%88%d9%86-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%b3%d8%b9%d9%88%d8%af%d9%8a#MC_MatcheDetails,الأسبوع التاسع عشر
2023-03-04,الدوري السعودي,الشباب,العدالة,19:30,1,2,انتهت,,https://www.yallakora.com/ksa-league/2784/match/87225/%d8%a7%d9%84%d8%b4%d8%a8%d8%a7%d8%a8-%d8%a7%d9%84%d8%b9%d8%af%d8%a7%d9%84%d8%a9-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%b3%d8%b9%d9%88%d8%af%d9%8a#MC_MatcheDetails,الأسبوع التاسع عشر
2023-03-04,الدوري البرتغالي,إستوريل	,فيزيلا ,17:30,0,3,انتهت,,https://www.yallakora.com/primeira-liga/2775/match/87687/%d8%a5%d8%b3%d8%aa%d9%88%d8%b1%d9%8a%d9%84--%d9%81%d9%8a%d8%b2%d9%8a%d9%84%d8%a7--%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a8%d8%b1%d8%aa%d8%ba%d8%a7%d9%84%d9%8a#MC_MatcheDetails,الأسبوع الثالث والعشرون
2023-03-04,الدوري البرتغالي,بورتيمونينسي,سبورتينج لشبونة,20:00,0,1,انتهت,,https://www.yallakora.com/primeira-liga/2775/match/87688/%d8%a8%d9%88%d8%b1%d8%aa%d9%8a%d9%85%d9%88%d9%86%d9%8a%d9%86%d8%b3%d9%8a-%d8%b3%d8%a8%d9%88%d8%b1%d8%aa%d9%8a%d9%86%d8%ac-%d9%84%d8%b4%d8%a8%d9%88%d9%86%d8%a9-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a8%d8%b1%d8%aa%d8%ba%d8%a7%d9%84%d9%8a#MC_MatcheDetails,الأسبوع الثالث والعشرون
2023-03-04,الدوري البرتغالي,شافيش,بورتو,22:30,1,3,انتهت,,https://www.yallakora.com/primeira-liga/2775/match/87689/%d8%b4%d8%a7%d9%81%d9%8a%d8%b4-%d8%a8%d9%88%d8%b1%d8%aa%d9%88-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a8%d8%b1%d8%aa%d8%ba%d8%a7%d9%84%d9%8a#MC_MatcheDetails,الأسبوع الثالث والعشرون
2023-03-04,الدوري المغربي,الدفاع الجديدي,الجيش الملكي,17:00,0,1,انتهت,,https://www.yallakora.com/morrocan-league/2794/match/87552/%d8%a7%d9%84%d8%af%d9%81%d8%a7%d8%b9-%d8%a7%d9%84%d8%ac%d8%af%d9%8a%d8%af%d9%8a-%d8%a7%d9%84%d8%ac%d9%8a%d8%b4-%d8%a7%d9%84%d9%85%d9%84%d9%83%d9%8a-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%85%d8%ba%d8%b1%d8%a8%d9%8a#MC_MatcheDetails,الأسبوع التاسع عشر
2023-03-04,الدوري المغربي,اتحاد طنجة,أولمبيك آسفي,17:00,2,1,انتهت,,https://www.yallakora.com/morrocan-league/2794/match/87553/%d8%a7%d8%aa%d8%ad%d8%a7%d8%af-%d8%b7%d9%86%d8%ac%d8%a9-%d8%a3%d9%88%d9%84%d9%85%d8%a8%d9%8a%d9%83-%d8%a2%d8%b3%d9%81%d9%8a-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%85%d8%ba%d8%b1%d8%a8%d9%8a#MC_MatcheDetails,الأسبوع التاسع عشر
2023-03-04,الدوري المغربي,الرجاء البيضاوي,شباب المحمدية,19:15,1,0,انتهت,,https://www.yallakora.com/morrocan-league/2794/match/87555/%d8%a7%d9%84%d8%b1%d8%ac%d8%a7%d8%a1-%d8%a7%d9%84%d8%a8%d9%8a%d8%b6%d8%a7%d9%88%d9%8a-%d8%b4%d8%a8%d8%a7%d8%a8-%d8%a7%d9%84%d9%85%d8%ad%d9%85%d8%af%d9%8a%d8%a9-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%85%d8%ba%d8%b1%d8%a8%d9%8a#MC_MatcheDetails,الأسبوع التاسع عشر
2023-03-04,الدوري المغربي,مولودية وجدة,حسنية اغادير,21:30,2,0,انتهت,,https://www.yallakora.com/morrocan-league/2794/match/87554/%d9%85%d9%88%d9%84%d9%88%d8%af%d9%8a%d8%a9-%d9%88%d8%ac%d8%af%d8%a9-%d8%ad%d8%b3%d9%86%d9%8a%d8%a9-%d8%a7%d8%ba%d8%a7%d8%af%d9%8a%d8%b1-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%85%d8%ba%d8%b1%d8%a8%d9%8a#MC_MatcheDetails,الأسبوع التاسع عشر
